Australia,Bahrain,China,Azerbaijan,Spain,Monaco,Canada,France,Austria,Great Britain,Germany,Hungary,Belgium,Italy
Sebastian Vettel,Sebastian Vettel,Daniel Ricciardo,Lewis Hamilton,Lewis Hamilton,Daniel Ricciardo,Sebastian Vettel,Lewis Hamilton,Max Verstappen,Sebastian Vettel,Lewis Hamilton,Lewis Hamilton,Sebastian Vettel,Lewis Hamilton
Lewis Hamilton,Valtteri Bottas,Valtteri Bottas,Kimi Raikkonen,Valtteri Bottas,Sebastian Vettel,Valtteri Bottas,Max Verstappen,Kimi Raikkonen,Lewis Hamilton,Valtteri Bottas,Sebastian Vettel,Lewis Hamilton,Kimi Raikkonen
Kimi Raikkonen,Lewis Hamilton,Kimi Raikkonen,Sergio Perez,Max Verstappen,Lewis Hamilton,Max Verstappen,Kimi Raikkonen,Sebastian Vettel,Kimi Raikkonen,Kimi Raikkonen,Kimi Raikkonen,Max Verstappen,Valtteri Bottas
Daniel Ricciardo,Pierre Gasly,Lewis Hamilton,Sebastian Vettel,Sebastian Vettel,Kimi Raikkonen,Daniel Ricciardo,Daniel Ricciardo,Romain Grosjean,Valtteri Bottas,Max Verstappen,Daniel Ricciardo,Valtteri Bottas,Sebastian Vettel
Fernando Alonso,Kevin Magnussen,Max Verstappen,Carlos Sainz,Daniel Ricciardo,Valtteri Bottas,Lewis Hamilton,Sebastian Vettel,Kevin Magnussen,Daniel Ricciardo,Nico Hulkenberg,Valtteri Bottas,Sergio Perez,Max Verstappen
Max Verstappen,Nico Hulkenberg,Nico Hulkenberg,Charles Leclerc,Kevin Magnussen,Esteban Ocon,Kimi Raikkonen,Kevin Magnussen,Esteban Ocon,Nico Hulkenberg,Romain Grosjean,Pierre Gasly,Esteban Ocon,Esteban Ocon
Nico Hulkenberg,Fernando Alonso,Fernando Alonso,Fernando Alonso,Carlos Sainz,Pierre Gasly,Nico Hulkenberg,Valtteri Bottas,Sergio Perez,Esteban Ocon,Sergio Perez,Kevin Magnussen,Romain Grosjean,Sergio Perez
Valtteri Bottas,Stoffel Vandoorne,Sebastian Vettel,Lance Stroll,Fernando Alonso,Nico Hulkenberg,Carlos Sainz,Carlos Sainz,Fernando Alonso,Fernando Alonso,Esteban Ocon,Fernando Alonso,Kevin Magnussen,Carlos Sainz
Stoffel Vandoorne,Marcus Ericsson,Carlos Sainz,Stoffel Vandoorne,Sergio Perez,Max Verstappen,Esteban Ocon,Nico Hulkenberg,Charles Leclerc,Kevin Magnussen,Marcus Ericsson,Carlos Sainz,Pierre Gasly,Lance Stroll
Carlos Sainz,Esteban Ocon,Kevin Magnussen,Brendon Hartley,Charles Leclerc,Carlos Sainz,Charles Leclerc,Charles Leclerc,Marcus Ericsson,Sergio Perez,Brendon Hartley,Romain Grosjean,Marcus Ericsson,Sergey Sirotkin
