Predictor A,Predictor B,Predictor C,Predictor D,Predictor E,Predictor F,Predictor G,Response
30.83,G,1.25,1,t,202,Mrketing 1,1
58.67,J,3.04,6,t,43,Mkt6,1
24.5,B,1.5,0,f,280,M0,1
27.83,B,3.75,5,f,100,Marketing 5,1
20.17,B,1.71,0,t,120,Spend 0,1
32.08,M,2.5,0,f,360,Marketing 0,1
33.17,,6.5,0,f,164,Marketing 0,1
22.92,A,0.04,0,f,80,Mrk 0,1
54.42,B,3.96,0,t,180,Marketing 0,1
42.5,A,3.165,0,f,52,Mrk 0,1
22.08,N,2.165,0,f,128,Mrk 0,1
29.92,M,4.335,0,f,260,Mrk 0,1
38.25,B,1,0,t,0,Marketing 0,1
48.08,A,0.04,0,t,0,Marketing 0,1
45.83,C,5,7,t,0,Marketing 7,1
36.67,,0.25,10,t,320,Marketing 10,1
28.25,E,0.96,3,f,396,Marketing 3,1
23.25,C,3.17,10,f,120,Marketing 10,1
21.83,L,0.665,0,t,0,Marketing 0,1
19.17,M,0.75,7,t,96,Marketing 7,1
25,B,2.5,17,f,200,Marketing 17,1
23.25,F,0.835,0,t,300,Marketing 0,1
47.75,F,7.875,6,f,0,Marketing 6,1
27.42,K,3.085,1,t,120,Marketing 1,1
41.17,,0.5,3,f,145,Marketing 3,1
15.83,C,1.5,2,t,100,Marketing 2,1
47,M,5.165,9,t,0,Marketing 9,1
56.58,,15,17,f,0,Marketing 17,1
57.42,D,7,3,t,0,Marketing 3,1
42.08,B,5,6,f,500,Marketing 6,1
29.25,G,5.04,5,t,168,Marketing 5,1
42,B,7.96,8,t,0,Marketing 8,1
49.5,B,7.585,15,t,0,Marketing 15,1
36.75,G,5,0,f,0,Marketing 0,1
22.58,M,0.415,5,t,0,Marketing 5,1
27.83,E,2,11,f,434,Marketing 11,1
27.25,M,1.835,12,f,583,Marketing 12,1
23,N,0.5,2,f,300,Marketing 2,1
27.75,I,0.25,2,t,260,Marketing 2,1
54.58,J,14.415,11,f,30,Marketing 11,1
34.17,F,4.5,12,t,0,Marketing 12,1
28.92,N,5.335,11,t,0,Marketing 11,1
29.67,B,0.75,1,f,240,Marketing 1,1
39.58,M,8.625,6,t,70,Marketing 6,1
56.42,B,28.5,40,t,0,Marketing 40,1
54.33,D,2.625,11,f,0,Marketing 11,1
41,A,0.125,23,t,455,Marketing 23,1
31.92,G,6.04,3,f,311,Marketing 3,1
41.5,G,3.5,0,t,216,Marketing 0,1
23.92,B,0.165,0,f,100,Marketing 0,1
25.75,A,0.875,0,f,491,Marketing 0,1
26,B,1.75,0,t,280,Marketing 0,1
37.42,J,0.04,0,t,400,Marketing 0,1
34.92,N,0,0,f,239,Marketing 0,1
34.25,B,7.415,0,f,0,Marketing 0,1
23.33,K,0.835,0,t,160,Marketing 0,1
23.17,F,0.085,0,t,0,Marketing 0,1
44.33,D,5,0,f,320,Marketing 0,1
35.17,A,5.75,0,t,711,Marketing 0,1
43.25,I,6,11,t,80,Marketing 11,1
56.75,K,1.25,4,f,200,Marketing 4,1
31.67,,3,9,f,250,Marketing 9,1
23.42,J,1.5,2,t,80,Marketing 2,1
20.42,K,1.585,1,t,0,Marketing 1,1
26.67,K,4.29,1,f,120,Marketing 1,1
34.17,D,1.54,1,f,520,Marketing 1,1
36,B,2,11,f,0,Marketing 11,1
25.5,I,0.25,3,t,260,Marketing 3,1
19.42,C,1.46,7,f,80,Marketing 7,1
35.17,G,1.625,1,t,515,Marketing 1,1
